6950,15,1873,1925,Sophie Brzeska
5774,12,1873,1961,Susan B. Ganong
1372,8,1873,1951,Charles Croker-King
3698,3,1873,1959,Theo Sørensen
2418,10,1873,1950,Joseph Capgras
1486,7,1873,1945,John Adam Hugo
4097,23,1873,1910,George Willis Kirkaldy
17550,63,1873,1914,Rudolf Duala Manga Bell
5202,15,1873,1942,Emanuel Rádl
737,1,1873,1948,Albin Asikainen
2444,15,1873,1934,William Oakley (footballer)
3901,9,1873,1925,Zivar bey Ahmadbeyov
3095,214,1873,1942,Max Malini
3308,15,1873,1949,George Cox, Sr.
4454,23,1873,1924,Arthur Louis Breslich
8622,63,1873,1950,Frank Phillips (oil industrialist)
3165,13,1873,1940,Nephi Miller
1680,15,1873,1904,Aurora Pavlovna Demidova
8151,13,1873,1952,Lionel Terry
2119,5,1873,-9999,Clarence Platt
1709,20,1873,1942,Ramaprasad Chanda
8636,41,1873,1968,George Peabody Gooch
2213,14,1873,1944,José María Peralta Lagos
1378,4,1873,1960,William Walker McLellan
1638,6,1873,1946,Caesar Kleberg
2667,11,1873,1955,Eugen Schmalenbach
5997,24,1873,1953,Louis Payne
1191,12,1873,1930,Makereti Papakura
10490,58,1873,1941,Lola Ridge
2114,75,1873,1933,Ginnosuke Tanaka
2234,8,1873,-9999,Anthony McGuin Rankin
10268,38,1873,1922,Roy Redgrave
5102,9,1873,1953,Arthur Meade, 5th Earl of Clanwilliam
3532,4,1873,1948,Robert Mornement
3257,4,1873,1959,Vladimir (Tikhonicky)
996,6,1873,1935,Ricardo Villa (composer)
5444,2,1873,1951,George "Elbows" McFadden
2484,3,1873,1948,Fritz Wucherer
2351,5,1873,1984,Father Akaki
4438,8,1873,1945,Vyacheslav Shishkov
3071,9,1873,1909,C. S. F. Crofton
3912,42,1873,1940,Charles C. Green
5059,14,1873,1938,Shinzo Shinjo
3992,6,1873,1941,Angus L. Bonnycastle
2215,24,1873,1951,George MacQuarrie
3087,6,1873,1951,Halfdan Sundt
4533,16,1873,1913,Bertram Dickson
2490,20,1873,1952,Frank H. Lee
1852,8,1873,1955,Reginald Parsons
