2859,76,1813,1877,Lewis V. Bogy
4152,60,1813,1883,Pierre Michaux
6446,3011,1813,1893,William Smith (lexicographer)
4514,179,1813,1882,William Henry Hooper
2812,7,1813,1874,Gustav Bläser
4535,26,1813,1887,Ferdinand von Miller
3372,9,1813,1887,William Henry Farquhar
2175,8,1813,1863,Johanna von Schoultz
2542,8,1813,1901,Félix Astol Artés
2184,23,1813,1898,François Bourassa
5220,11,1813,1880,Andrew Murray (journalist)
4403,33,1813,1876,Gennady Nevelskoy
3859,27,1813,1885,James B. Walton
1926,8,1813,1870,George Markham Giffard
3984,105,1813,1891,Thomas Graham Balfour
4412,15,1813,1891,Samuel Lancaster Gerry
10832,12,1813,1912,Mirza Muhammad Ismail
1449,10,1813,1883,Osborne Gordon
3733,6,1813,1868,Joseph Ernst Seppelt
1704,5,1813,1899,Domenico Bresolin
14722,61,1813,1853,Frédéric Ozanam
7136,4,1813,1871,Moïse Polydore Millaud
8165,174,1813,1887,Agostino Depretis
5205,6,1813,1886,Hoshiar Kadinefendi
1888,21,1813,1898,Gavril Krastevich
2229,9,1813,1891,Auguste André Thomas Cahours
3173,66,1813,1887,Carey A. Trimble
1355,7,1813,1893,Gustav Adolph Techow
1782,18,1813,1884,Eugène Pelletan
2357,10,1813,1876,Pierre-Auguste Sarrus
2367,12,1813,1895,Benjamin Wait
1437,20,1813,1884,Orsamus H. Marshall
1754,7,1813,1873,Thomas Frank Heaphy
5762,27,1813,1871,Joseph Hawdon
4324,57,1813,1861,William Hillyer
7764,11,1813,1893,Matthias Hipp
2153,8,1813,1890,Humphrey Pickard
4354,4,1813,1874,James Lucas (hermit)
2623,8,1813,1874,Ferenc Reitter
3779,19,1813,1883,William O'Neill, 1st Baron O'Neill
3983,4,1813,1907,Frederick Stacpoole
3774,3,1813,1884,Robert Hills (cricketer)
3187,40,1813,1855,Timofey Granovsky
6412,36,1813,1873,John Robinson McClean
1616,16,1813,1895,Tōdō Takayuki
1926,48,1813,1893,Richard Sopris
4360,13,1813,1880,Mordecai Jones
5067,10,1813,1898,Luigi Frari
5066,898,1813,1865,Adolph Kolping
5040,5,1813,1862,Robert Bruce (1813–1862)
2848,3,1813,1872,James Ambrose Dominic Aylward
2201,15,1813,1886,Lockier Burges (Australian politician)
4985,4,1813,1869,Gustav Bergenroth
9276,50,1813,1892,Joseph R. Anderson
5204,20,1813,1887,James Whatman (politician)
2802,8,1813,1870,Rudolf Köpke
5515,35,1813,1881,Cezar Bolliac
8579,405,1813,1837,Georg Büchner
9271,31,1813,1877,George Odger
3612,15,1813,1896,James Maxwell, 9th Baron Farnham
3963,7,1813,1899,Edward Lyon Berthon
6563,11,1813,1899,Hezekiah William Foote
6775,35,1813,1881,George Oakes (Australian politician)
2502,12,1813,1873,Célestin Nanteuil
6135,42,1813,1881,Rajendra of Nepal
1399,18,1813,1887,Julie von Webenau
1451,2,1813,1869,Isaac Pray
6030,121,1813,1898,John Cochrane (general)
7477,31,1813,1864,William Henry Fry
741,7,1813,1870,Arthur Edwin Way
6278,18,1813,1894,Jakob Rosenhain
2020,9,1813,1904,Benjamin Davies (politician)
3029,10,1813,1894,Orlando Weld-Forester, 4th Baron Forester
1498,11,1813,1887,John Cavell
2946,86,1813,1882,John C. Mather (New York)
8638,46,1813,1878,George Hammond Whalley
4136,19,1813,1881,William Fox (palaeontologist)
1719,4,1813,1853,Jacob David Hoppe
857,91,1813,1877,Henry Adams (zoologist)
5891,57,1813,1872,George Luther Hathaway
1754,5,1813,1849,Norbert Ormay
1433,9,1813,1876,William Bouch
13109,108,1813,1896,Ivar Aasen
3473,29,1813,1890,Reuben Davis (representative)
6771,23,1813,1874,Samuel Kier
3071,25,1813,1886,James Lindsay Seward
5366,96,1813,1906,Alonzo Garcelon
