4371,188,177,1696,1781,John Thomas (bishop of Winchester)
6788,89,72,1696,1754,John Strange (English politician)
18945,606,531,1696,1763,Augustus III of Poland
7217,49,46,1696,1757,Prince Vakhushti of Kartli
2997,7,2,1696,1750,Eric Julius Biörner
14242,123,100,1696,1750,Maurice de Saxe
3200,10,9,1696,1766,Stephen Moore, 1st Viscount Mount Cashell
1155,13,5,1696,1782,Christine Kirch
3257,11,4,1696,1739,John Wigan (physician)
2525,7,3,1696,1751,Burchard Mauchart
12604,8,6,1696,1746,Kanakaraya Mudali
5674,30,21,1696,1778,Laurent Delvaux
6730,38,17,1696,1772,Louis Tocqué
1541,19,8,1696,1756,Anne O'Brien, 2nd Countess of Orkney
3853,4,1,1696,1769,Henry Gally
3787,19,12,1696,1757,Andrea Zani
1638,30,20,1696,1746,Theophilus Hastings, 9th Earl of Huntingdon
5751,28,25,1696,1771,Richard Grey (priest)
9489,1,0,1696,1785,Georgia Experiment
987,10,4,1696,1752,Barthélemy Pitrot
7444,35,26,1696,1771,Francis Drake (antiquary)
3578,6,5,1696,1756,Constantine III, Prince of Mukhrani
5598,34,21,1696,1751,Batty Langley
2664,10,8,1696,1764,Anne Ingram, Viscountess Irvine
4623,173,155,1696,1743,Chaim ibn Attar
22282,82,67,1696,1760,Conrad Weiser
6019,19,18,1696,1764,Marc-Pierre de Voyer de Paulmy d'Argenson
11111,219,202,1696,1770,Benning Wentworth
1513,6,4,1696,1769,Samuel Kneeland (printer)
3803,7,6,1696,1775,Henry Willoughby, 16th Baron Willoughby of Parham
1185,15,13,1696,1761,Richard Lloyd (died 1761)
3450,104,86,1696,1770,Johann Jakob Brucker
3251,7,6,1696,1749,Friedrich August von Harrach-Rohrau
2023,6,3,1696,1767,John Worsley (scholar)
2750,2,1,1696,1765,Olivio Sòzzi
623,1,0,1696,1771,Jean de Beaurain
5175,44,35,1696,1782,John Campbell, 3rd Earl of Breadalbane and Holland
6515,7,7,1696,1773,Gerard Rijsbrack
6912,193,160,1696,1754,Mahmud I
5301,5,2,1696,1755,Giulia Crostarosa
15099,110,98,1696,1743,John Hervey, 2nd Baron Hervey
4306,8,4,1696,1773,Daniel de Superville (1696–1773)
12281,77,62,1696,1759,William Pepperrell
20292,18,14,1696,1776,Countess Palatine Francisca Christina of Sulzbach
1211,6,1,1696,1766,Robert Maxwell (writer)
4562,64,52,1696,1755,Maurice Greene (composer)
1588,12,6,1696,1750,Olof Hiorter
6333,18,11,1696,1762,Bernard Baron
3230,11,8,1696,1744,Sir John St Aubyn, 3rd Baronet
5123,17,16,1696,1757,Giuseppe Galli Bibiena
6741,18,15,1696,1782,Charles Gray (English politician)
6838,13,7,1696,1755,Charles Louis, Count of Marsan
5034,16,10,1696,1760,Ernst Gottlieb Baron
3586,7,4,1696,1771,William Clarke (antiquary)
1329,9,6,1696,1755,Li Fangying
1693,15,7,1696,1761,August Querfurt
6175,98,96,1696,1783,Giuseppe Pozzobonelli
1844,18,7,1696,1765,Jean Girard
1855,3,2,1696,-9999,Robert Sanderson (Nova Scotia)
55002,20,16,1696,1772,Samuel Johnson (American educator)
790,8,1,1696,1772,Antoine Achard
12072,76,63,1696,1727,Louis Armand II, Prince of Conti
1152,20,16,1696,1738,Nguyễn Phúc Trú
4406,9,7,1696,1757,Joshua Cooper (died 1757)
1948,13,7,1696,1775,Hendrik Carré II
1366,6,4,1696,1757,Pieter Jan Snyers
4533,16,11,1696,1752,Caspar Wistar (glassmaker)
6835,90,67,1696,1772,William Borlase
2332,9,4,1696,1754,Roland Paradis (silversmith)
8381,10,5,1696,1747,Elizabeth Adkins
4121,18,13,1696,1726,Eleonore Wilhelmine of Anhalt-Köthen
2581,43,34,1696,1782,Francesco de Mura
945,7,3,1696,1737,Arabella Fermor
2120,3,1,1696,1780,Bernardo O'Connor
2725,8,7,1696,1748,Charles Ingram (British Army officer)
1558,3,2,1696,1777,Henrietta Polyxena of Vasaborg
7117,18,5,1696,1793,Samuel Whittemore
19280,118,79,1696,1781,Abram Petrovich Gannibal
1799,3,2,1696,1755,Stefano Gherardini
3643,25,12,1696,1763,Johann Caspar Vogler
1842,7,5,1696,1764,Thomas Simson
5133,14,12,1696,1754,Christian August, Duke of Schleswig-Holstein-Sonderburg-Augustenburg
2122,89,83,1696,1729,Abdalmalik of Morocco
2617,52,48,1696,1767,David Gregory (historian)
1772,20,15,1696,1764,Jean-François de La Clue-Sabran
2358,16,6,1696,1771,Chen Hongmou
8231,27,23,1696,1762,Princess Antoinette of Brunswick-Wolfenbüttel
1160,3,2,1696,1763,Domenico Maria Fratta
26500,386,303,1696,1770,Giovanni Battista Tiepolo
2012,9,6,1696,1770,Esprit Antoine Blanchard
4715,18,10,1696,1793,Marged ferch Ifan
9203,3,2,1696,-9999,Indira Kanwar
1490,6,3,1696,1775,Sebastian Klotz
4108,10,6,1696,1748,Al-Mansur al-Husayn II
3344,8,5,1696,1773,Francis Leighton (British Army officer)
6280,67,58,1696,1732,Ambrose Madison
9207,33,16,1696,1738,James Fitz-James Stuart, 2nd Duke of Berwick
4384,14,12,1696,1760,Antoine Court
1764,11,8,1696,1766,Giovanni Lorenzo Berti
2692,6,5,1696,1763,Kim Du-ryang
1377,139,130,1696,1763,Marco Foscarini
1910,126,116,1696,1719,Shah Jahan II
3925,18,16,1696,1750,Mattia Bortoloni
5574,16,11,1696,1764,William Elliot of Wells
1522,62,59,1696,1732,John Madison
18576,1153,1080,1696,1787,Alphonsus Maria de' Liguori
9350,17,7,1696,1785,Eunice Kanenstenhawi Williams
3909,11,8,1696,1751,Samuel Cluckston
3221,21,19,1696,1726,Shivaji II
1058,11,7,1696,1752,Louis de Cormontaigne
5240,23,22,1696,1761,Frederick William, Prince of Solms-Braunfels
4623,7,3,1696,1777,William Gostling
12300,18,11,1696,1760,Dumont de Montigny
31818,48,13,1696,1756,William Beverley
1534,12,11,1696,1765,John Folliott (1696–1765)
5953,33,29,1696,1746,Thomas Winnington (1696–1746)
3675,12,9,1696,1764,Tokugawa Muneharu
12553,19,14,1696,1715,Prince Johann Ernst of Saxe-Weimar
8086,19,15,1696,1778,Sir Archibald Grant, 2nd Baronet
2479,20,17,1696,1744,Francis Burton
1018,7,6,1696,1759,Serafin Crijević
3116,6,2,1696,-9999,Élisabeth Bégon
6756,32,23,1696,1772,Joseph Wenzel I, Prince of Liechtenstein
2346,15,12,1696,1747,James Latham (painter)
