4881,23,1766,-9999,Adam Laxman
10421,17,1766,1800,Thomas Whaley (politician)
3213,19,1766,1844,John Wedgwood (horticulturist)
3730,51,1766,1829,Baltzar von Platen (statesman)
4570,88,1766,1800,Ned Young
6182,14,1766,1823,Johann Maass
11557,43,1766,1813,Philip Beaver
7005,35,1766,1853,Arthur Livermore
1830,442,1766,1800,Nathaniel Freeman, Jr.
20313,131,1766,1833,Louis William Valentine Dubourg
3677,17,1766,1825,Alexander Labzin
2963,11,1766,1845,Simon von Lämel
1421,7,1766,1786,Ange Auguste Joseph de Laborde de Boutervilliers
8580,11,1766,1852,Michael Fitton
5987,33,1766,1823,Jean-Pierre, Count of Montalivet
6038,7,1766,1855,John DeCew
4125,16,1766,1820,José Antonio Conde
1241,8,1766,1828,Johann Samuel Arnhold
24704,228,1766,1840,José Gaspar Rodríguez de Francia
6830,23,1766,1806,François Capois
5185,12,1766,1837,Dicey Langston
4173,57,1766,1839,Edmund Henry Lushington
1801,22,1766,1835,Hasan al-Attar
4458,29,1766,1844,Samuel Drummond
16241,5,1766,1844,John Gadsby (tavern keeper)
3090,64,1766,1834,Antoine-Vincent Arnault
1856,20,1766,1816,Archibald McBryde
36373,705,1766,1844,John Dalton
14461,10,1766,1830,William Mounsey (Royal Navy officer)
5291,101,1766,1827,Frederick North, 5th Earl of Guilford
24901,26,1766,1822,James Scurry
1382,3,1766,-9999,José da Cunha Taborda
5905,11,1766,1845,Robert Forsyth (writer)
3156,4,1766,1845,Basile Baltus de Pouilly
1619,10,1766,1836,Cholmeley Dering (died 1836)
2757,43,1766,1830,Vasily Pushkin
11718,22,1766,1834,Barthélemy de Lesseps
3010,6,1766,1833,Thomas Evans (poet, died 1833)
3687,30,1766,1793,Louis Marie de Lescure
8473,182,1766,1795,Jean-Marie Claude Alexandre Goujon
11516,57,1766,1816,Joaquín Camacho
5635,75,1766,-9999,May Cameron
8670,138,1766,1822,John Drayton
2264,17,1766,1844,Rufus Smith
3432,9,1766,1849,Firmin Massot
6730,27,1766,1809,Sir Frederick Eden, 2nd Baronet
3773,19,1766,1837,Edward Stopford (British Army officer)
2320,27,1766,1837,Philip R. Thompson
2627,11,1766,1823,Pierre-Jean-Baptiste Chaussard
2347,6,1766,1800,Amos Simon Cottle
5890,39,1766,1833,John Overton (judge)
6618,107,1766,1848,Isaac D'Israeli
2055,13,1766,1840,Eliza Fenwick
14280,44,1766,1822,Francisco Antonio Zea
3347,14,1766,1805,John Hodgkinson (actor)
5283,69,1766,1802,Prince Giuseppe, Count of Asti
12565,253,1766,1829,Edward Tiffin
3672,510,1766,1815,Daniel Dewey
2226,19,1766,1839,James Wilson I (New Hampshire)
14659,304,1766,1822,Armand-Emmanuel de Vignerot du Plessis, Duc de Richelieu
6052,20,1766,1850,Robert Dudley Oliver
3875,27,1766,1849,Narbona
15759,19,1766,1846,Étienne Hastrel de Rivedoux
2621,10,1766,1813,Jean Baptiste, baron Franceschi
4830,16,1766,1843,Randal McGavock
4906,6,1766,1790,Elizabeth Burnett
2210,36,1766,1840,Franjo Vlašić
7408,20,1766,1835,Jean-Jacques Magendie
1490,72,1766,1841,Robert Fowler (bishop of Ossory)
4700,4,1766,1840,Nat Foster
1294,12,1766,1832,Peter Schousboe
4637,37,1766,1836,Philip Hooker
1405,9,1766,1829,Jes Bundsen
4798,12,1766,1837,Carlo Giuseppe Guglielmo Botta
1608,8,1766,1847,Karoline von Schlotheim
15862,7,1766,1857,John Walbach
1317,7,1766,1828,Juste Chanlatte
1138,2,1766,1839,Robert Dunlap (playwright)
2745,14,1766,1839,John Beikie
1203,3,1766,1844,Dmitri Kutejnikov
18727,27,1766,1878,Eulalia Pérez de Guillén Mariné
3880,43,1766,1820,Ferdinando Fairfax
2737,13,1766,1844,Levi Hedge
2091,11,1766,1847,William Parkinson Ruxton
2114,9,1766,1811,Johann Baptist Drechsler
3366,41,1766,1816,Camilo Torres Tenorio
22020,88,1766,1842,Dominique Jean Larrey
12719,23,1766,1844,Aaron Chorin
4873,7,1766,1796,Pedro Casanave
1591,31,1766,1848,Luigi Aloysius Colla
2622,11,1766,1798,Friedrich Fleischmann
7042,11,1766,1849,Richard Talbot, 2nd Baron Talbot of Malahide
5099,7,1766,1799,Samuel Pearce
1511,10,1766,1863,John Buzzell
2611,20,1766,1850,Gustav Ernst von Stackelberg
1554,4,1766,1823,Carl Heinrich Wilhelm Anthing
5914,86,1766,1823,Mariano Fernández de Folgueras
3755,27,1766,1853,Wilhelm von Kobell
2073,6,1766,1848,François Caron (politician)
3434,32,1766,1846,Christian Ludwig Ideler
2638,16,1766,1858,Thomas Sheppard (MP)
2010,5,1766,1830,John Jervis White Jervis
25436,11,1766,1840,Lolotte Forssberg
4186,30,1766,1819,John Rutledge, Jr.
8517,42,1766,1832,Francis Buckle
879,3,1766,1848,Aleksey Zhilin
2423,29,1766,1854,Henry Fourdrinier
4069,9,1766,1846,Anne Hamilton (1766–1846)
4098,17,1766,1857,Henry Potter (judge)
5235,22,1766,1861,Collin McKinney
4361,34,1766,1832,Francis Nathaniel Burton
1590,9,1766,1828,Jacques Augustin Catherine Pajou
26127,606,1766,1817,Germaine de Staël
7477,30,1766,1813,Ignacio Elizondo
13928,170,1766,1841,Thomas Bruce, 7th Earl of Elgin
1278,20,1766,1821,Anselm Maria Fugger von Babenhausen
4738,7,1766,1835,John Ingram Lockhart
10616,7,1766,1819,Louis Claude Monnet de Lorbeau
5004,89,1766,1844,Pierre Menard
1682,13,1766,1837,Ralph Wedgwood (inventor)
7179,10,1766,1850,William Fremantle (politician)
3375,7,1766,-9999,George Brewer
1875,5,1766,1798,Giovan Battista Dell'Era
4169,107,1766,1832,John Clark (Georgia governor)
6548,28,1766,1835,Arthur Kaye Legge
6121,21,1766,1826,Charlotte von Lengefeld
1734,9,1766,1823,Mariano Gerada
7480,68,1766,1844,Sir John Beresford, 1st Baronet
2935,29,1766,1821,John Wall Callcott
7244,69,1766,1843,Alexander Viets Griswold
6924,7,1766,1833,Benjamin Ives Gilman (1766)
5006,37,1766,1830,Daniel Sandford (bishop of Edinburgh)
6696,9,1766,1824,Charles Louis de Fourcroy
3595,37,1766,1828,Johann Samuel Ersch
1958,6,1766,1843,Francis Longworth, Sr.
5916,37,1766,1839,Jonathan Sewell
1468,8,1766,1842,Louis-Édouard Hubert
3286,11,1766,1859,Thomas Masterman Winterbottom
7401,8,1766,1794,Claude-François de Payan
4621,75,1766,1843,Charles Macintosh
1787,6,1766,1840,Matthew White (MP)
9830,81,1766,1842,William Vane, 1st Duke of Cleveland
2032,54,1766,1821,William Irving (New York)
7608,55,1766,1820,Nguyễn Du
3926,50,1766,1847,Timothy Pitkin
6038,14,1766,1845,Richard Cox (horticulturist)
3111,5,1766,1805,Juliane Giovane
2066,3,1766,1826,Joseph François Noos
2934,13,1766,1800,Louis de Frotté
7497,9,1766,1847,Silas Dinsmoor
4313,16,1766,1818,Claude Matthieu, Count Gardane
4181,110,1766,1831,Rodolphe Kreutzer
4622,19,1766,-9999,José Cardero
1367,10,1766,1812,Jean Louis Romeuf
3133,47,1766,1824,Beyhan Sultan (daughter of Mustafa III)
9580,28,1766,1840,Henry William Bayntun
2748,12,1766,1813,Yaakov Yitzchak Rabinowicz
5003,28,1766,1845,Carolina Nairne
3312,26,1766,1843,George Boyle, 4th Earl of Glasgow
11308,80,1766,1854,Samuel Wilson
4215,23,1766,1852,Edward Thornton (1766–1852)
8578,9,1766,1840,Joseph Bartholomew (Major General)
2606,14,1766,1852,Anton Weidinger
2401,18,1766,1828,William J. Lewis
2969,13,1766,1844,Thomas Foster Barham (musician)
3853,15,1766,1842,Llewelyn Traherne
7165,21,1766,1836,Sir William Cusack-Smith, 2nd Baronet
1264,7,1766,1819,Johann Conrad Felsing
3351,47,1766,1846,Vincent Mathews
13358,188,1766,1853,Pierre Toussaint
6191,31,1766,1843,Charles Baird (engineer)
5905,33,1766,1814,Jean-Baptiste Broussier
2129,4,1766,1846,William Anderson (horticulturist)
4638,27,1766,1849,Franz Xaver Niemetschek
2493,107,1766,1828,Mihály Fazekas
12950,31,1766,1846,John Claudius Beresford
2350,36,1766,1855,Jeremiah H. Pierson
