1644,8,1848,1918,Robert Parlane
4626,5,1848,1926,Luigi Talamoni
2328,3,1848,1915,Antonio Malchiodi
17614,21,1848,1907,Willis G. Hale
2392,12,1848,1916,Thomas H. Anderson (judge)
890,14,1848,1923,Henry Allerdale Grainger
15244,42,1848,1920,Caroline Alice Elgar
2160,8,1848,1924,Yeranuhi Karakashian
7389,40,1848,1932,Thomas Sexton (Irish politician)
2455,11,1848,1919,Friedrich Wilms
1488,10,1848,1930,George Lemuel Dickinson
2066,8,1848,1916,Albert King Hawkes
1814,8,1848,1912,Arthur Wollaston Hutton
1961,3,1848,1918,Ernest David Marquand
5205,2,1848,1933,Aleksei Zerchaninov
14509,99,1848,1931,Ulrich von Wilamowitz-Moellendorff
2696,5,1848,1931,Georges Lesieur
1739,6,1848,1913,Rita Amada de Jesus
2991,14,1848,-9999,James Machon
4537,12,1848,1915,Gus Williams (vaudeville)
4718,10,1848,1930,Francis Howard (British Army officer)
10238,10,1848,1933,Richard Rogers Bowker
4050,3,1848,1918,William Fletcher (steam traction engine designer)
2610,8,1848,1941,Chauncey B. Brewster
7553,13,1848,1920,William J. Van Patten
1870,7,1848,1913,John Greenig
2778,22,1848,1917,Bogdan Khanenko
2137,12,1848,1926,Meir Atlas
4508,18,1848,1928,Paul Clemens von Baumgarten
1840,6,1848,1883,Akimoto Hirotomo
2281,62,1848,1923,Rodney C. Badger
1708,48,1848,1918,Mary Ann Lipscomb
1741,10,1848,1920,Utagawa Kunisada III
5231,19,1848,1913,Andrew S. Draper
641,6,1848,1927,Andrés Venegas García
4883,16,1848,1925,William Barleycorn
4741,14,1848,1927,James Goold Cutler
8467,8,1848,1941,Johann von Pallavicini
10931,78,1848,1919,William Swift
18830,90,1848,1899,Grant Allen
5940,4,1848,1914,Joseph Reynolds Green
2229,10,1848,1918,Philippe Le Sueur Mourant
11352,42,1848,1919,John Remsburg
4668,14,1848,1918,Rafael Sotomayor Gaete
3958,6,1848,1916,Archibald M. Howe
6057,69,1848,1929,Lilli Lehmann
20231,74,1848,1921,Cathcart Wason
4771,20,1848,1927,Dudley Mays Hughes
1134,5,1848,1897,Arthur Coates (cricketer)
3980,15,1848,1909,William Hooper Councill
9796,119,1848,1917,George W. Guthrie
6061,40,1848,1922,William Henry Miller (architect)
5130,6,1848,1900,Laforrest H. Thompson
2651,16,1848,1924,Ferdinand Peck
103268,669,1848,1915,W. G. Grace
121938,1477,1848,1903,Paul Gauguin
1640,4,1848,-9999,Thomas Hall (murderer)
2919,12,1848,1919,Ebenezer Parkes
13480,116,1848,1923,Edward Hutton (British Army officer)
1887,9,1848,1916,Vladimir Karlovich Roth
4902,35,1848,1919,John J. Adams
4278,8,1848,1915,Arvid Genetz
4485,33,1848,1928,Nordahl Rolfsen
3811,73,1848,1907,John Cunneen
2952,8,1848,1917,William Bailey Howland
9113,29,1848,1941,August Heckscher
1041,3,1848,1930,Wesley Spragg
6801,11,1848,1919,Sir Edward Holden, 1st Baronet
2519,6,1848,1929,Catherine Mary MacSorley
3587,19,1848,1932,John Wodehouse, 2nd Earl of Kimberley
7020,10,1848,1913,Frank Wilkeson
5786,200,1848,1910,Edward Joseph Dunne
5213,45,1848,1912,Justo Sierra
5380,7,1848,1929,Mary Hamilton, Duchess of Abercorn
2016,11,1848,1928,John Boden
3492,11,1848,1892,Heinrich Streintz
2907,9,1848,1932,Milton Reed
3430,49,1848,1898,Edmund O'Connor
8926,91,1848,1914,Sydney Grundy
8888,50,1848,1932,George Chaffey
2639,18,1848,1919,Joseph Lawrence (British politician)
3561,9,1848,1931,Robert Klein (Medal of Honor)
7015,57,1848,1894,Princess Amalie of Saxe-Coburg and Gotha
4260,19,1848,1924,Denis Kilbride
7528,16,1848,1875,Rose La Touche
2937,1,1848,1919,William Wesley Van Orsdel
10397,40,1848,1904,Ferdinand Mannlicher
4074,7,1848,1919,Samuel Cunningham (Canadian politician)
5349,18,1848,1935,William Field (Irish politician)
2410,27,1848,1920,Walter Faxon
2014,20,1848,1932,Gaston Thomson
3045,30,1848,1934,David Charleston
2166,66,1848,1903,Joseph O. Brown
3146,12,1848,1925,Theodore Blake Wirgman
1770,17,1848,1909,Ernest Alexandre Honoré Coquelin
2346,6,1848,1922,Edward L. Burlingame
154,11,1848,1905,Paul Henry (astronomer)
1724,54,1848,1890,Hermann Dewitz
4495,123,1848,1933,G. M. Thomson
2469,9,1848,1933,Michael McGovern (poet)
