4899,13,4,1645,1725,Georgios Sougdouris
5696,46,39,1645,1707,William Jane
2967,17,10,1645,1688,Govert van der Leeuw
10576,13,9,1645,1712,Thomas Wagstaffe
4905,69,42,1645,1727,Aert de Gelder
2153,10,6,1645,-9999,August Kühnel
1072,16,10,1645,1710,Charles Theodore, Prince of Salm
12236,93,76,1645,1696,Jean de La Bruyère
10743,23,9,1645,1721,Jacob de Wilde
3515,80,78,1645,1715,Isaac Addington
1786,5,4,1645,1728,Charles Louis Simonneau
3323,14,8,1645,1719,Laurentius Christophori Hornæus
903,11,9,1645,1709,Sir Henry Oxenden, 3rd Baronet
1728,10,8,1645,1713,John Powell (1645–1713)
1307,13,10,1645,1718,Giuseppe Avanzi
1962,11,2,1645,1667,Moses ter Borch
5746,5,2,1645,1692,Jane Myddelton
3128,4,3,1645,1699,Sir Hugh Owen, 2nd Baronet (1641 creation)
2506,22,13,1645,1708,Thomas Pereira
8010,22,19,1645,1695,Sir Edward Hales, 3rd Baronet
4160,10,9,1645,1702,Giacomo Cantelmo
2796,9,7,1645,1708,Rennequin Sualem
2943,6,1,1645,1715,Gaspar de la Huerta
1440,8,6,1645,1714,Naitō Kiyokazu
8933,37,27,1645,1713,John Hay, 2nd Marquess of Tweeddale
5033,17,10,1645,1699,Edmund Bohun
4118,17,9,1645,1710,Giovanni Antonio Fumiani
9341,76,60,1645,1704,Chikka Devaraja
4338,12,7,1645,1697,Pedro Cubero
27500,157,136,1645,1689,George Jeffreys, 1st Baron Jeffreys
2974,21,15,1645,1732,François Vachon de Belmont
1332,24,18,1645,1716,Jakob Gronovius
2419,3,2,1645,1718,Thomas Nicolson (bishop)
977,9,7,1645,1694,John Darell (died 1694)
2034,15,12,1645,1683,John North (Trinity)
4313,8,7,1645,1697,Juan del Valle y Caviedes
1839,5,3,1645,1717,Nicola Grimaldi I
2421,12,9,1645,1709,William Sherwin (engraver)
2193,25,16,1645,1707,Bernard Desjean, Baron de Pointis
26728,174,129,1645,1721,Marguerite Louise d'Orléans
2130,9,5,1645,1679,Mary, Countess of Falmouth and Dorset
4495,62,42,1645,1708,Romeyn de Hooghe
2550,95,86,1645,1683,Mikołaj Hieronim Sieniawski
1918,12,2,1645,1699,Maria Schalcken
689,6,4,1645,1718,Thomas May (MP for Chichester)
1362,14,8,1645,1699,Johann Georg Conradi
7773,9,8,1645,1704,Gabrielle de Rochechouart de Mortemart (nun)
3640,31,27,1645,1703,Robert White (engraver)
1971,9,5,1645,1702,Torii Kiyomoto
3771,25,20,1645,1676,Francis I Rákóczi
903,11,6,1645,1715,Gottfried Vopelius
5138,27,19,1645,1702,Honinbo Dosaku
2912,18,14,1645,1713,Giovanni Antonio Viscardi
1242,5,4,1645,1703,Alexander Chalmers (mayor of Warsaw)
3288,16,9,1645,1700,Francisco Antolínez
6243,5,3,1645,1693,Christopher Robinson (Virginia politician)
2044,7,2,1645,1705,Johannes Jakob Buxtorf
2425,13,8,1645,1692,Thomas Mun (MP)
2835,8,5,1645,1714,Peter Du Cane, the elder
4122,34,27,1645,1706,Andreas Werckmeister
1564,10,6,1645,1672,Teresa Chodkiewicz
5015,89,80,1645,1714,Haquin Spegel
9116,11,10,1645,1667,Namchö Mingyur Dorje
1782,20,16,1645,1702,Anthony Grey, 11th Earl of Kent
1746,57,50,1645,1710,René-Antoine Houasse
2514,2,1,1645,1702,Siyavuş Sultan
7376,38,37,1645,1718,Michael Wening
2724,9,7,1645,1711,James Smith (Vicar Apostolic of the Northern District)
2195,9,5,1645,1714,Albert Meijeringh
1188,2,0,1645,1694,Francis Fenwick
