1003,8,1738,1801,Hachisuka Shigeyoshi
2748,13,1738,1816,John Peyto-Verney, 14th Baron Willoughby de Broke
3776,11,1738,1809,Al-Mansur Ali I
1568,16,1738,1771,Aharon of Karlin (I)
1357,4,1738,1776,Barbara Catharina Mjödh
11596,9,1738,1797,Thomas Brown (businessman)
3507,11,1738,1826,Alexander Outlaw
16951,53,1738,1808,Elijah Craig
5367,17,1738,1771,Christian Adolph Klotz
5046,51,1738,1819,John Wolcot
15442,51,1738,1807,Darejan Dadiani
6135,103,1738,1816,Mary Katherine Goddard
2415,8,1738,1814,Anne Therese Philippine d'Yves
17932,16,1738,1814,George Rochfort, 2nd Earl of Belvedere
3124,5,1738,1807,Joseph-Dominique-Emmanuel Le Moyne de Longueuil
5168,26,1738,1816,John Courtenay (1738–1816)
3395,8,1738,1793,Lisbeth Cathrine Amalie Rose
1435,23,1738,1772,Enevold Brandt
4632,443,1738,1820,John Bacon (Massachusetts)
2482,5,1738,1797,Thomas Bruce (British Army officer)
13639,12,1738,1823,Jonathan Hunt (Vermont lieutenant governor)
4343,9,1738,1792,Giuseppe Cerutti
1749,8,1738,1787,Hendrik Keun
5230,24,1738,1804,Ernst Gottfried Baldinger
2537,12,1738,1769,Nicholas Hume-Loftus, 2nd Earl of Ely
32455,113,1738,1804,Alexander White (Virginia)
5797,11,1738,1819,Maurice Mahon, 1st Baron Hartland
1282,1,1738,1794,Charles Grangier de La Ferriere
4053,18,1738,-9999,Swami Ramanand
5438,16,1738,1806,Charles-Daniel de Meuron
5981,6,1738,-9999,Elizabeth Marshall (cook)
3385,6,1738,1779,Fujitani Nariakira
11239,60,1738,1800,Friedrich Adolf Riedesel
4792,35,1738,1797,Philip Hayes (composer)
774,7,1738,1806,Henry Brooke (artist)
7496,6,1738,1790,Eilardus Westerlo
5062,8,1738,1814,Pierre Belly
5033,347,1738,1802,Peter Vitus von Quosdanovich
4756,52,1738,1813,Robert Whitehill (Pennsylvania)
3123,9,1738,1804,Louis-Jacques Cathelin
45783,432,1738,1815,John Singleton Copley
14264,76,1738,1801,Robert Yates (politician)
4180,26,1738,1811,Sir James Grant, 8th Baronet
13399,126,1738,1802,Jehu Davis
13141,57,1738,1795,George Collier
2044,6,1738,1799,Adolph Modéer
2595,20,1738,1790,Robert Magaw
1293,13,1738,1792,Henry Walton Smith
4432,32,1738,1817,Fryderyk Józef Moszyński
1468,42,1738,1783,John Walton (Continental Congress)
1675,6,1738,1793,Karel la Fargue
73913,641,1738,1789,Ethan Allen
5554,19,1738,1803,Abraham Rawlinson
1534,11,1738,1785,William Cochran (artist)
4351,16,1738,1811,Gustav Orreus
6261,6,1738,1806,James Dillon (bishop)
2787,10,1738,1788,Jonathan Blanchard (statesman)
16082,58,1738,1791,James Manning (minister)
2623,55,1738,1804,Pietro Rossi (scientist)
4519,10,1738,1819,Sir Walter Farquhar, 1st Baronet
5131,5,1738,1820,Archibald Cockburn
6560,20,1738,1806,Edward Edwards (painter)
3856,14,1738,1822,James Dickson (botanist)
2667,9,1738,1798,Jacob Klock (colonel)
2544,5,1738,1806,John Thomas Seton
16017,43,1738,1796,Dudley Saltonstall
12351,95,1738,1792,Benjamin Tupper
1081,7,1738,1811,Antoine Raspal
2093,1,1738,1813,Barend Christiaan van Calker
18814,232,1738,1781,Túpac Amaru II
4305,87,1738,1817,Tristram Dalton
1033,9,1738,1836,Antonio Franconi
856,1,1738,1794,Friedrich Gottlieb Barth
1552,5,1738,1819,Yehuda Heller Kahana
991,4,1738,1770,Arthur Trevor (MP)
15234,28,1738,1792,Thomas Peters (revolutionary)
3244,8,1738,1775,Robert Bolling (poet)
79765,233,1738,1809,Joseph Johnson (publisher)
7929,10,1738,1810,Jean-Nicolas Céré
2359,13,1738,1823,Edward Ledwich
12425,30,1738,1772,Louis Aleno de St Aloüarn
9357,23,1738,1816,Frederick Augustus, Duke of Nassau
1002,13,1738,1795,Isaac Motte
6764,29,1738,1790,Johann Hinrich Gossler
8580,32,1738,1794,Józef Kossakowski (bishop)
4392,8,1738,1833,John Bankhead (minister)
3659,8,1738,1793,Barak Longmate
