12345,27,13,1765,1801,James Hemings
28286,26,14,1765,1847,Charles Dashwood (Royal Navy officer)
2433,48,38,1765,1830,George Hay (Virginia)
7121,32,25,1765,1785,Duchess Frederica of Württemberg
2301,27,22,1765,1836,Robert Waln
2375,8,2,1765,1826,Richard Pitt
3192,12,2,1765,1815,Jacob Fidelis Ackermann
2800,8,3,1765,1858,Bernard Sarrette
8262,24,15,1765,1836,John Hope (British Army officer)
8154,108,90,1765,1836,John Bell (New Hampshire politician)
1924,13,6,1765,1825,Jan Henryk Wołodkowicz
3271,34,25,1765,1836,Karl Daub
2354,5,3,1765,1848,John Davenport (industrialist)
1025,14,8,1765,1855,Mahmud Gami
13881,14,10,1765,1794,Antoine Philippe de La Trémoille
59323,454,403,1765,1812,Pyotr Bagration
4847,17,1,1765,1825,Emily Geiger
900,6,3,1765,1794,Benjamin Peter Gloxin
2535,3,2,1765,1844,John Michel (British Army officer, born 1765)
7432,37,27,1765,1831,Harman Blennerhassett
7222,28,16,1765,1804,Israel Ludlow
1440,13,10,1765,1835,Jean-Joseph-François Tassaert
3013,7,4,1765,1854,William Parr Greswell
2759,15,14,1765,1830,Richard Cavendish, 2nd Baron Waterpark
1333,11,8,1765,1842,Étienne-Claude Lagueux
1620,19,11,1765,1831,Johann Gottlieb Friedrich von Bohnenberger
8515,150,124,1765,1813,Abigail Adams Smith
1926,3,0,1765,1802,John Legg (ornithologist)
1937,5,4,1765,1837,Giovanni Battista Frulli
7486,29,27,1765,1832,Vukolaj Radonjić
6000,89,69,1765,1837,Henry Thomas Colebrooke
2031,38,29,1765,1814,Hezekiah L. Hosmer
1348,10,5,1765,1826,Étienne Duchesnois
975,7,3,1765,1822,Mathias Hagerup
7820,9,5,1765,1815,Charles de Villers
3928,196,180,1765,1836,William Van Mildert
9116,18,14,1765,1840,Harry Burrard-Neale
4518,20,16,1765,1842,Samuel Smith (New Hampshire)
19139,173,147,1765,1826,Matthew Murray
6461,23,20,1765,1845,George Grey, 6th Earl of Stamford
1053,5,2,1765,1838,Jan Apeldoorn
2432,8,5,1765,1821,James Wilson (anatomist)
6631,11,1,1765,1838,Helen D'Arcy Stewart
763,5,1,1765,1819,Saturnino José Rodríguez Peña
5788,156,133,1765,1848,Ambrose Spencer
4031,10,8,1765,1833,Tsugaru Yasuchika
5692,17,6,1765,1816,Azel Backus
1091,8,5,1765,1838,Georgios Sakellarios
63155,1755,1238,1765,1837,William IV of the United Kingdom
2750,19,15,1765,1851,Henry Luttrell (wit)
4160,28,26,1765,1835,Antoine Roux
3021,7,5,1765,1836,Francesco Alberi
8529,12,8,1765,-9999,Husayn Pasha ibn Makki
3388,2,1,1765,1859,Ole Rasmussen Apeness
2161,21,14,1765,1833,Christian Tarr
2752,16,14,1765,1830,Henry Bonham (politician)
3993,450,441,1765,1817,William Ely
2590,11,4,1765,1808,Robert Freebairn
1025,5,2,1765,1839,Samuel Mugglestone
9557,21,10,1765,1814,Temple Hardy
2892,8,3,1765,1847,Timothy Essex
4080,21,12,1765,1807,Anton Eberl
3928,7,5,1765,1809,Juan O'Neylle
4663,19,12,1765,1815,Christian Friedrich Wilhelm von Ompteda
8234,40,27,1765,1843,Sylvestre François Lacroix
6692,24,22,1765,1796,Princess Augusta Wilhelmine of Hesse-Darmstadt
1649,6,5,1765,1829,Michał Ceptowski
2537,26,22,1765,1842,Johann Carl Megerle von Mühlfeld
1980,5,4,1765,1825,William Maclay (Pennsylvania representative)
2387,8,5,1765,1822,Christopher Pegge
3180,6,3,1765,1836,William Battine
12179,444,412,1765,1840,Jacques MacDonald
1177,9,4,1765,-9999,Henry Crozoer
2212,137,123,1765,1829,Pierre Jacotin
3206,8,6,1765,1810,Metta Fock
4085,449,442,1765,1831,William Stedman
3212,26,24,1765,1826,John Brickdale Blakeway
2688,6,4,1765,1831,Bazyli Łukasz Wróblewski
1217,9,7,1765,1853,Meta Forkel-Liebeskind
5354,39,32,1765,1824,Johann von Thielmann
4725,6,3,1765,1850,Jean-Baptiste Girard (pedagogue)
1490,7,4,1765,1832,André Papineau
1889,18,12,1765,1811,Nicolas Godinot
12817,63,55,1765,1819,Thomas Fremantle (Royal Navy officer)
5405,3,3,1765,1835,Louis-Marie Baudouin
2365,18,11,1765,1825,Antoine Alexandre Barbier
2796,31,16,1765,1793,William Hill Brown
4710,38,32,1765,1836,Francis Preston
22516,517,253,1765,1825,Eli Whitney
2612,14,9,1765,1839,Francis Godolphin Bond
3182,13,9,1765,1805,Vieira Portuense
1930,3,3,1765,1793,Thomas Hawdon
913,6,3,1765,1845,Claude Ursule Gency
5211,31,23,1765,1815,Jakub Jan Ryba
20073,14,13,1765,1833,William Wadsworth (officer)
1900,9,3,1765,1843,Johann Christian Gottlob Baumgarten
3753,25,12,1765,1844,Christian Horneman
2150,20,13,1765,1809,Cyprian Godebski
4483,17,10,1765,1810,Thomas Nash (Newfoundland)
2967,36,30,1765,1832,August Friedrich Ferdinand von der Goltz
4584,9,3,1765,1852,Raimondo Guarini
11423,51,42,1765,1839,Elizabeth Leveson-Gower, Duchess of Sutherland
4587,4,2,1765,1835,James Anderson (Royal Navy officer)
6388,69,42,1765,1836,Richard Westall
2673,289,273,1765,1812,Carl Ludwig Willdenow
1387,7,5,1765,1822,Karl Friedrich Bernhard Hellmuth von Hobe
4126,20,12,1765,1830,John Sylvester John Gardiner
4870,7,3,1765,1831,Richard Pearson (physician)
3245,20,13,1765,1836,Thomas Minton
1576,10,8,1765,1836,Edme-François-Étienne Gois
4785,58,44,1765,1835,Lucius Horatio Stockton
4495,6,5,1765,1832,Jean-Baptiste-Henri Féretier
2055,7,3,1765,1803,Joseph Luker
1792,11,6,1765,1812,William Francis Strudwick
13569,27,20,1765,1818,Elizabeth Billington
9490,120,98,1765,1823,Antonio Nariño
14197,35,30,1765,1849,David Hendrik Chassé
1483,4,1,1765,1837,Eulalie Morin
1477,9,6,1765,1832,Franz Niklaus König
3379,29,21,1765,1836,Jack Small
979,9,4,1765,1837,François-Xavier Audouin
2792,10,2,1765,1840,Carel Lodewijk Hansen
2460,12,6,1765,1797,Thomas Kirk (artist)
18429,59,40,1765,1841,Franz Xaver von Baader
2164,7,3,1765,1824,Anagnostis Petimezas
18593,27,23,1765,1846,Joseph Leopold Eybler
3554,30,22,1765,1823,Sansar Chand
25169,60,35,1765,1845,Honoré Théodore Maxime Gazan de la Peyrière
7334,80,72,1765,1849,Ray Greene (politician)
2795,18,17,1765,1822,Robert Robinson (cricketer, born 1765)
8733,8,7,1765,1833,Richard Brooks (captain)
4927,3,2,1765,1841,Neil B. Edmonstone
3672,7,3,1765,1863,Richard Fowler (physician)
4726,73,64,1765,1838,Hussein Dey
5542,142,132,1765,1817,Samuel H. Huntington
3696,14,7,1765,1816,David Jones (barrister)
2758,14,7,1765,1828,Georg Friedrich Sartorius
6555,11,4,1765,1844,Edward Stirling Dickson
6933,58,49,1765,1802,Francis Russell, 5th Duke of Bedford
5367,184,166,1765,1813,Tadeusz Czacki
3653,6,3,1765,1850,George Williams (British politician)
3196,39,28,1765,1810,Luigi Schiavonetti
4688,94,86,1765,1836,Jakov Nenadović
19482,249,171,1765,1815,José María Morelos
3104,22,12,1765,1844,Carl Friedrich Kielmeyer
2688,10,8,1765,1844,Hugh Primrose Lindsay
1396,5,3,1765,1851,Jacques Archambault (politician)
70748,23,16,1765,1843,James Greenleaf
5960,20,19,1765,1811,Thomas Tyrwhitt Jones
504,38,33,1765,1845,Stanisław Węgrzecki
4808,18,11,1765,1847,Thomas Wallace (Irish MP)
4590,28,14,1765,1857,John Busby
4619,46,33,1765,1833,Samuel Drew
2128,5,4,1765,1809,Niels Stockfleth Darre
6926,69,58,1765,1840,Pierre Dupont de l'Étang
6324,28,24,1765,1839,Sir Peter Halkett, 6th Baronet
3330,28,20,1765,1844,Martín Fernández de Navarrete
4227,88,79,1765,1818,Henri Jacques Guillaume Clarke
3676,19,12,1765,1812,Nikolay Tuchkov
4398,20,19,1765,1830,Edward O'Reilly (scholar)
1269,9,5,1765,1809,John Brownell
5417,6,5,1765,1805,Jean Joseph Hubert
13889,172,124,1765,1826,Thomas Todd
9938,23,11,1765,1848,Jean-Antoine Dubois
8273,11,10,1765,1844,Frederick St John (British Army officer)
1460,18,8,1765,1834,Catherine Maria Fanshawe
1129,7,2,1765,1848,Joseph Dutens
5097,12,8,1765,1823,Lucas Sullivant
2105,26,22,1765,1845,Pierre-Barthélémy Portal d'Albarèdes
1276,9,4,1765,-9999,Jeanne-Hippolyte Devismes
2641,51,41,1765,1832,Ivan Kuskov
13209,17,15,1765,1821,Alexander Gogel
10009,10,6,1765,1839,John Duncumb
10082,489,480,1765,1848,Harrison Gray Otis (politician)
2663,79,76,1765,1846,William O'Brien, 2nd Marquess of Thomond
8319,103,89,1765,1831,Domingo Matheu
3208,6,3,1765,1848,Franz Gerhard Wegeler
2380,8,3,1765,1847,Leontiy Spafaryev
2979,8,3,1765,1794,Marie-Geneviève Meunier
6971,21,11,1765,1845,Charles Wale
2502,116,112,1765,1832,Dirck Ten Broeck
26150,49,30,1765,1843,Zephaniah Kingsley
6150,136,126,1765,1844,Joseph Strutt (philanthropist)
7771,8,8,1765,1805,Louis Gabriel Deniéport
3515,3,1,1765,1848,Johann Wilhelm Klein
4249,35,28,1765,1831,Jippensha Ikku
6907,31,21,1765,1840,Maximilian Godefroy
9615,20,13,1765,1831,Sir John Perring, 1st Baronet
4925,15,12,1765,1838,Gabriel de Mendizábal Iraeta
4700,15,12,1765,-9999,William Mayrant
8856,37,26,1765,1827,Servando Teresa de Mier
5920,19,11,1765,1844,LeRoy Pope
47205,47,34,1765,1799,Thomas Muir of Huntershill
2465,6,1,1765,1814,Vasily Malinovsky
3042,18,12,1765,1852,George Rice, 3rd Baron Dynevor
3583,6,4,1765,1831,Peter Anton Kreusser
2241,13,6,1765,1841,Ebenezer Adams
1652,9,5,1765,1846,Bonaventure Panet
5175,11,7,1765,1844,Joseph Mazzinghi
22620,283,146,1765,1833,Nicéphore Niépce
3748,11,8,1765,1826,Thomas Wilson (Virginia politician)
7582,7,6,1765,1845,Christopher Wilson (son)
6434,92,72,1765,1842,James Ivory (mathematician)
1623,14,6,1765,1831,Ozias Thurston Linley
1845,9,4,1765,1820,Pietro Bonato
4228,61,55,1765,1841,Denis-Luc Frayssinous
2143,5,1,1765,1824,Pierre-Claude-Victor Boiste
8500,51,39,1765,1793,Lê Chiêu Thống
2359,11,8,1765,1795,Joseph Le Bon
7855,70,51,1765,1830,Alexander Smyth
6349,20,14,1765,1846,Johann Leonhard Hug
3107,9,6,1765,1837,Thomas Bond (topographer)
2485,8,4,1765,1793,Jean-François Ducos
6442,23,9,1765,1834,Thanasis Vagias
1734,23,18,1765,1828,John Campbell (1765–1828)
1804,42,34,1765,1833,István Szijjártó
2401,32,26,1765,1815,Aubrey Beauclerk, 6th Duke of St Albans
2890,18,14,1765,1843,Alden Bradford
12726,67,54,1765,1833,Nikolaus II, Prince Esterházy
1103,8,4,1765,1837,Carl Friedrich Ernst Frommann
3493,15,13,1765,1843,James Forbes, 17th Lord Forbes
3197,20,17,1765,1843,Adolph Ribbing
2878,4,2,1765,1817,William Ridgeway (law reporter)
1561,2,1,1765,1840,Hans Thoresen
15868,47,37,1765,1846,Robert Plumer Ward
16297,20,19,1765,1836,William Taylor (man of letters)
2084,12,8,1765,1840,Peter Fraser (merchant)
5937,19,13,1765,1827,Louis Lepic
2355,23,17,1765,1807,Samuel Hunt (New Hampshire)
12494,73,44,1765,1833,Martín De León
11284,11,5,1765,1820,William Robe
1425,2,1,1765,1820,Abdulbaki Nasir Dede
6850,95,83,1765,1834,Jean Armour
1488,8,5,1765,1825,Domenico Vantini
364,3,2,1765,1826,Vasily Severgin
7674,17,3,1765,1851,Alexis-Vincent-Charles Berbiguier de Terre-Neuve du Thym
5060,64,56,1765,1842,Bernard Howard, 12th Duke of Norfolk
2066,12,7,1765,1834,Jean-Baptiste Blache
5301,19,14,1765,1854,Antoine Claire Thibaudeau
2230,8,3,1765,1834,Diego Clemencín
2768,13,12,1765,1803,Joseph Blake, 1st Baron Wallscourt
20811,68,42,1765,1817,Nancy Storace
4945,17,12,1765,1849,Sir John Dashwood-King, 4th Baronet
4634,53,49,1765,1831,Martin Baum
6085,83,71,1765,1837,Joseph Kerr
4099,6,3,1765,1864,Jean-Joseph Chapuis
2416,9,6,1765,1841,Osmund Andersen Lømsland
25836,166,105,1765,1815,Emma, Lady Hamilton
1478,13,11,1765,1825,Jean-François Landolphe
7266,5,2,1765,1845,Alexandre Francois Auguste de Grasse
10440,36,25,1765,1823,Daniel Steibelt
6210,4,2,1765,1839,George Rex (entrepreneur)
4156,19,11,1765,1817,Gertrudis Bocanegra
3348,10,9,1765,1810,Samuel Barron (1765–1810)
8678,60,41,1765,1842,Josias Rowley
4814,14,3,1765,1829,Anne Bannerman
3653,13,5,1765,-9999,John Claude Nattes
5317,15,8,1765,1859,Robert Holmes (barrister)
1364,33,26,1765,1820,John Nicholson (New York)
2873,61,56,1765,1841,George Beresford (bishop)
4454,18,17,1765,1841,Ambroise-Polycarpe de La Rochefoucauld
9814,51,42,1765,1822,Peter Puget
3136,11,4,1765,1807,Samuel Turner (informer)
9068,54,41,1765,1843,Martha Lloyd
7439,57,46,1765,1825,Adélaïde Dufrénoy
8747,223,206,1765,1808,Alemdar Mustafa Pasha
3020,5,4,1765,1803,John Simon Frederick Fraser
4089,42,20,1765,1825,Johann Friedrich Pfaff
780,3,2,1765,1837,Marc Antoine Baudot
1190,6,3,1765,1847,Knut Andreas Pettersen Agersborg
29303,24,17,1765,1854,Pierre-Louis Binet de Marcognet
5108,16,13,1765,1813,Jacques Thomas Sarrut
1762,9,3,1765,1856,Étienne Pellot
6114,15,9,1765,1809,Melchor de Talamantes
4776,6,4,1765,1838,Alexander Hamilton (British Army officer)
7390,33,25,1765,1854,Sir Robert Heron, 2nd Baronet
8328,6,1,1765,1832,Anna Orbeliani, Queen Consort of Imereti
6913,27,21,1765,1839,Fulwar Skipwith
5126,30,24,1765,1844,Oliver Holden
2048,8,5,1765,1838,John Hale (Canadian politician)
5237,15,7,1765,1822,Friedrich Schlichtegroll
2591,6,3,1765,1850,John Richards (U.S. politician)
7236,66,53,1765,1824,John Lemprière
4020,26,16,1765,1809,Jean-Baptiste Cervoni
5413,14,9,1765,1814,John Stockham
5113,16,13,1765,1825,Thomas Cundy (senior)
1344,17,12,1765,1839,Joseph Freeman (politician)
1039,19,10,1765,1817,Susannah Darwin
6634,102,80,1765,1847,Charles Hatchett
6183,24,16,1765,1818,Alois von Reding
4332,41,24,1765,1827,Simcha Bunim of Peshischa
5775,12,7,1765,1822,Kyriakoulis Mavromichalis (military commander)
1292,18,15,1765,1845,Kazimierz Małachowski
580,7,3,1765,1824,Jaime Villanueva
2802,42,38,1765,1838,Robert Robson
4022,15,5,1765,1853,Dominique Ducharme
6918,49,39,1765,1827,Benjamin Ellicott
1656,5,3,1765,1830,James Stewart (Nova Scotia politician)
6566,39,36,1765,1831,John Calcraft (the younger)
3374,21,17,1765,1809,John Petty, 2nd Marquess of Lansdowne
3717,9,3,1765,1852,Sarah Harlowe
3621,2,1,1765,1824,Michalis Kourmoulis
4463,32,22,1765,1855,Jabez Leftwich
6475,25,19,1765,1852,Simeon North
9508,70,61,1765,1823,John Hope, 4th Earl of Hopetoun
1931,14,3,1765,1840,Johann Friedrich Abegg
25398,45,33,1765,1851,Jean Gabriel Marchand
2820,19,11,1765,1860,Giovanni Anastasi (merchant)
1032,6,3,1765,1825,Giovanni Monti
6258,28,23,1765,1848,William Hale (politician)
3700,12,8,1765,1841,Cladius Detlev Fritzsch
2345,3,0,1765,1813,Josefa Joaquina Sanchez
8439,19,14,1765,1829,Samuel James Ballard
3974,10,6,1765,1829,John Kershaw (American politician)
