21122,12,1825,1891,Pedro II of Brazil in the Paraguayan War
6582,60,1825,1912,Christian L. Poorman
9223,22,1825,1917,Thomas Caterer
2809,52,1825,1901,Rudolf Czipott
8100,65,1825,1883,Iwakura Tomomi
1693,7,1825,1853,Thomas Kerr Fairless
4714,18,1825,1909,Elena Cuza
3362,9,1825,1909,Alexander Elliot
18610,31,1825,1855,Kinooleoliliha
1232,2,1825,1910,Édouard Bamberger
1528,6,1825,1887,John McPhillamy
4289,9,1825,1907,Marie Therese Vauzou
2799,4,1825,1899,Theodor Poesche
2928,6,1825,1897,Luis de Madrazo
3686,22,1825,1874,Sion Hart Rogers
8037,22,1825,1904,Richard Hol
32370,328,1825,1903,Hans Gude
1274,7,1825,1892,Adolf Rzepko
20845,16,1825,1891,Consolidation of Pedro II of Brazil
1778,15,1825,1873,John Locke (Canadian politician)
1812,2,1825,1897,Jerome R. Brigham
3288,24,1825,1903,Francis Joseph Steingass
4620,7,1825,1903,Gustav Sohon
7777,50,1825,1892,John MacGregor (sportsman)
3383,59,1825,1905,John Budd Phear
1382,5,1825,1874,Jan Albert Hendrik Hugenholz
5449,10,1825,1898,John Samuel Swire
1979,9,1825,1890,François-Xavier Babineau
7782,18,1825,1864,George A. Cobham, Jr.
1551,32,1825,1881,Charles G. Coulon
4609,4,1825,1909,Edward Oramel Austin
3392,5,1825,1894,Nikša Gradi
6714,28,1825,1893,George K. Shiel
4099,63,1825,1902,Allen T. Wikoff
9876,20,1825,1889,Doctor Willard Bliss
6570,17,1825,1869,John A. Poindexter
9018,42,1825,1890,Alexander Mozhaysky
7112,9,1825,1900,Julian Moreton
2722,37,1825,1901,Henri de Bornier
2096,46,1825,1863,Thomas Pope (politician)
3053,13,1825,1891,Thomas Berwick
18942,70,1825,1861,John Quincy Marr
4372,19,1825,1906,Waldemar Hvoslef
6613,200,1825,1899,James Duggan
6577,428,1825,1908,John Coburn (politician)
779,9,1825,1895,Pedro Gamboni
3239,11,1825,1906,William Hozier, 1st Baron Newlands
4022,19,1825,1908,James Alexander Campbell (politician)
2864,9,1825,1855,Edward Gilbert Abbott
4460,22,1825,1892,Lord Arthur Russell
2801,322,1825,1895,William F. Parrett
3928,22,1825,1898,John Moses (Illinois politician)
9665,95,1825,1894,Herman Amberg Preus
