15308,34,1761,1836,David Hudson (pioneer)
3023,5,1761,1796,Joseph Swain (poet)
22113,206,1761,1821,John Rennie the Elder
4682,15,1761,1840,François Budan de Boislaurent
10420,70,1761,1823,Matthew Baillie
8257,17,1761,1799,Toypurina
5518,7,1761,1841,Louis de Grandpré
2719,14,1761,1822,Halet Efendi
4251,15,1761,1802,Robert Snooks
1235,7,1761,1836,Bernard Dornin
3148,19,1761,1840,Jakob Sigismund Beck
1804,26,1761,1814,William Craik
3667,15,1761,1828,Diderik von Cappelen
6994,22,1761,1830,Joaquín de la Pezuela, 1st Marquis of Viluma
5289,11,1761,1834,William Blackall Simonds
888,10,1761,1825,Giovanni Domenico Perotti
5537,2,1761,1830,Jean-François Honoré, baron Merlet
10751,29,1761,1816,Solomon Spalding
6330,50,1761,1829,Lord Henry FitzGerald
2514,12,1761,1835,John Lumley-Savile, 7th Earl of Scarbrough
2012,12,1761,-9999,Marie-Elizabeth Cléry
6459,43,1761,1811,Pedro Caro, 3rd Marquis of la Romana
4497,3,1761,1829,Ferdinando Mattei
6993,33,1761,1803,Georg I, Duke of Saxe-Meiningen
1948,19,1761,1834,Isaac Smith (Pennsylvania)
10664,34,1761,1796,Juvenaly of Alaska
4052,11,1761,1800,Charles Jones, 5th Viscount Ranelagh
734,1,1761,1839,Giorgio Des Geneys
4164,78,1761,1845,George Law (bishop)
10086,148,1761,1829,Richard Anthony Salisbury
2896,6,1761,1829,Yekaterina von Engelhardt
4782,8,1761,1847,Stanisław Bonifacy Jundziłł
4959,6,1761,1833,Redford Webster
13945,141,1761,1822,James Sykes (governor)
2182,5,1761,1788,Christopher Temple Emmet
1677,10,1761,1842,John Jones (Bedford politician)
9096,29,1761,1836,Armand Philippon
2938,8,1761,1835,Nicolas Anselme Baptiste
32014,30,1761,1797,Richard Bowen
4059,11,1761,1817,Francis North, 4th Earl of Guilford
2766,16,1761,1812,Pierre-Louis Panet
4613,34,1761,1835,Raymond-Gaspard de Bonardi de Saint-Sulpice
4699,7,1761,1848,John Wells (19th-century politician)
26600,37,1761,1833,Karl Ludwig Giesecke
4903,12,1761,1845,Benjamin Russell (journalist)
